departement,communes ,habitants,mise_en_commun_agent_municipal_commune ,agents_police,asvp,gardes_champetres,maitre_chien,chien_police,commune-brigade_cynophile
2,Vendhuile,573,0,0,0,1,0,0,0
2,Vervins,2600,0,1,0,0,0,0,0
2,Villeneuve-Saint-Germain,2541,0,1,0,0,0,0,0
2,Villequier-Aumont,666,0,1,0,0,0,0,0
2,Villers-Cotterêts,10869,0,7,0,0,0,0,0
2,Viry-Noureuil,1732,0,1,0,0,0,0,0
3,Abrest,2980,0,1,0,0,0,0,0
3,Ainay-le-Chateau,1001,0,0,0,1,0,0,0
3,Avermes,4012,0,2,0,0,0,0,0
3,Bellerive-sur-Allier,8500,0,4,0,0,0,0,0
3,Bourbon-l’Archambault,2566,0,1,0,0,0,0,0
3,Cesset,437,0,0,0,1,0,0,0
3,Commentry,6239,0,1,0,0,0,0,0
3,Cosne d’Allier,2044,0,1,0,0,0,0,0
3,Cusset,12909,0,5,1,0,0,0,0
3,Domérat,8839,0,0,0,1,0,0,0
3,Gannat,5953,0,3,0,0,0,0,0
3,Lapalisse,3205,0,0,0,1,0,0,0
3,Malicorne,790,0,0,0,1,0,0,0
3,Montluçon,33822,0,4,7,0,0,0,0
3,MOULINS,19869,0,7,3,0,0,0,0
3,Néris-les-Bains,2594,0,1,0,0,0,0,0
3,Saint-Germain-des-Fossés,3706,0,1,0,0,0,0,0
3,Saint-Pourçain-sur-Sioule,5124,1,3,0,0,0,0,0
3,Toulon-sur-Allier,1174,0,1,0,0,0,0,0
3,Varennes-sur-Allier,3700,1,2,0,0,0,0,0
3,Vichy,25372,0,24,12,0,4,2,1
3,Yzeure,14000,0,4,1,0,0,0,0
4,ALLOS,787,0,2,3,0,0,0,0
4,BARCELONNETTE,2760,0,1,1,0,0,0,0
4,CASTELLANE,1546,0,1,1,0,0,0,0
4,CHATEAU ARNOUX ST AUBAN,5197,0,2,0,0,0,0,0
4,CORBIERES-EN-PROVENCE,1300,0,1,0,0,0,0,0
4,DIGNE LES BAINS,17192,0,7,2,0,0,0,0
4,ENCHASTRAYES,398,0,0,1,0,0,0,0
4,ESPARRON DE VERDON,396,0,0,4,0,0,0,0
4,FORCALQUIER,5121,0,4,0,0,0,0,0
4,GREOUX LES BAINS,3088,0,2,2,0,0,0,0
4,LES MEES,3813,0,1,2,0,0,0,0
4,MALIJAI,2050,0,1,0,0,0,0,0
4,MANOSQUE,22528,0,28,4,0,2,2,1
4,MOUSTIERS STE MARIE,735,0,0,4,0,0,0,0
4,ORAISON,6000,0,4,1,0,0,0,0
4,PEYRUIS,3000,0,1,0,0,0,0,0
4,PIERREVERT,4070,0,3,1,0,0,0,0
4,RIEZ,1700,0,1,2,0,0,0,0
4,SAINTE CROIX DE VERDON,119,0,0,1,0,0,0,0
